,Scientific,Synonym,English,Dutch,Spanish,French,German,Italian,Count English,Count Dutch,Count Spanish,Count French,Count German,Count Italian,Origin,Distribution,"Annual, biennial, or perennial",Flowers,Leaves,Fruits,Climate and weather,Pollination,Height,Type of soil,Moisture,Light,Growth rate,Spacing (close range),Spacing (wide range),Propagation,Insect pests,Diseases,Nematodes,Harvesting,Uses,Evergreen or Deciduous,Plant,Fruit development,Blooming period,genus,family,order,crop_categories,Count of Crop Categories,proverbs,recipies
0,['Abelmoschus caillei'],[],West African okra,,,Gombo ouest-africain,,,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Abelmoschus,Malvaceae,Malvales,"Vegetables,Fruit vegetables,Food crops,Tropical crops",4,,
1,['Abelmoschus esculentus'],['Hibiscus esculentus'],"Ladies fingers,Lady fingers,Lady’s fingers,Okra",Okra,"Gombo,Ocra,Quimbombo","Gombo,Okra",Okra,"Abelmosco,Gombo",4,1,3,2,1,2,Ethiopia,Okra is grown in tropical regions and the relatively warmer temperate regions.,Annual or perennial,Okra has big yellow or white flowers that are 4 to 8 centimeter in diameter. The flowers have 5 petals which have a red or purple spot at the base.,The hand-shaped leaves are 10 to 20 centimeters long with 5 to 7 lobes.,"The fibrous fruits (or pods) contain round, white seeds. When sliced, the fruits show a pentagonal (having five sides) cross-section. They can reach a length of 18 centimeters.",Warm and tropical climates are suitable for okra. It is very heat and drought tolerant.,"Okra is pollinated by insects such as bees, wasps, flies and beetles.",Okra can reach a height of up to 2 meters.,Lady’s finger can tolerate poor soils.,"Seedlings need sufficient water, but when older, okra is a very drought tolerant vegetable.", ,It takes 50 – 65 days to reach maturity.,30 x 60 cm,60 x 90 cm,Okra is grown from seed.,"Various beetles: flea beetle, Japanese beetle, blister beetles. Some caterpillars (corn earworm).",Stem blight and wilt.,Root knot nematode,"After pollination the fruits soon become fibrous and woody, therefore the fruits are harvested when immature to be used as a vegetable. The plant will continue to produce fruits while they are being harvested. When mature fruits are left on the plant this will reduce flowering and fruit set.","Usually okra is used as a vegetable in stews or soups. When cooked the fruits become rather slimy in appearance. Okra can also be used breaded and deep fried, or pickled.",,,,,Abelmoschus,Malvaceae,Malvales,"Vegetables,Fruit vegetables,Podded vegetables,Food crops,Tropical crops",5,"You can’t eat okra with just one fingerAn okra tree does not grow taller than its master (Sierra Leone ). This means that young persons, even with a higher education, can not surpass their elders.So few people eat okra (more radishes are grown in the America) that it never even makes it onto the lists of Top 10 hated foods. (Julia Reed)Okra is the closest thing to nylon I`ve ever eaten. It`s like some fancy college professor bred cotton with a green bean. (Robin Williams)",Lady fingers recipeRinse pods. Slice off the tip and discard. Slice okra into about 1/4 pieces. Discard the end. Dice one onion for about 25 pods. Coat pods and onion in cornmeal. Fry in skillet with 3-4 table spoons of oil. Okra should be crunchy but not burned. Add about 2 tsp of salt or to taste.
2,['Acacia mearnsii'],[],Black wattle,,,Acacia noir,,,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia,Fabaceae,Fabales,"Subtropical crops,Temperate crops",2,,
3,['Acacia senegal'],[],"Gum acacia,Gum arabic,Gum arabic tree,Gum senegal tree",Arabische gom,Goma arábiga,"Gomme arabique,Gommier blanc","Gummi arabicum,Gummiarabikum,Verek-Akazie",Gomma arabica,4,1,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia,Fabaceae,Fabales,"Medicinal plants,Tropical crops",2,,
4,['Acacia seyal'],[],"Red acacia,Shittah tree",Arabische gom,Goma arábiga,,"Gummi arabicum,Gummiarabikum,Seyal-Akazie",Gomma arabica,2,1,1,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Acacia,Fabaceae,Fabales,"Medicinal plants,Aphrodisiacs,Tropical crops",3,,
5,['Acca sellowiana'],['Feijoa sellowiana'],"Feijoa,Guavasteen,Pineapple guava","Ananasguave,Feijoa","Feijoa,Guayaba del Brasil,Guayabo del Brasil","Goyavier de Montevideo,Goyavier du Brésil","Ananas-Guave,Brasilianische Guave,Feijoa",Feijoa,3,2,3,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,Acca,Myrtaceae,Myrtales,"Fruits,Food crops,Tropical crops,Subtropical crops",4,,
6,['Acer saccharum'],[],"Canadian maple,Sugar maple",Suikeresdoorn,Arce azucarero,Érable à sucre,Zucker-Ahorn,,2,1,1,1,1,0,The sugar maple originates from North America.,Its main distribution is in Canada and USA.,,,Leaves can be upto 20 centimeters long and have 5 lobes. In autumn the green leaves change color and can change from bright yellow to orange and fluorescent red-orange.,The fruit of the tree has two-winged seeds. The round seeds have a diameter of  7 to 10 mm. The wings are 2 to 3 long.,It’s a temperate tree which grows mainly in the north east of the USA and in Canada.,,Sugar maple trees can be 25 to 35 meters tall.,,,,,,,Trees can be grown from seeds which fall from the tree in autumn and are viable for just a few days.,,,,The sap is harvested by drilling a hole in the tree and collecting the sap which drips out.,"Sap of the tree is used to produce maple syrup or maple sugar. Wood of the tree is used to produce pool cues, musical instruments and other products. The trees are also grown as ornamentals because of their beautiful colors in autumn.",It’s a deciduous tree. Before dropping the leaves in autumn they have very bright colors.,Sugar maple is a large hardwood tree.,,,Acer,Sapindaceae,Sapindales,"Ornamental plants,Sugar crops,Timber",3,"They throw stones at the walnut trees, but not at the maple. (Greek proverb)",
7,['Acmella oleracea'],"['Spilanthes acmella', 'Spilanthes oleracea']","Paracress,Spilanthes,Toothache plant","Abc-kruid,Champagneblad,Parakers","Hierba de los dientes,Paracress","Brèdes mafane,Cresson de Para","Jambú,Parákresse",,3,3,2,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,Acmella,Asteraceae,Asterales,"Vegetables,Leaf vegetables,Medicinal plants,Food crops,Tropical crops,Subtropical crops",6,,
8,['Actinidia arguta'],[],"Arctic kiwi,Baby kiwi,Cocktail kiwi,Dessert kiwi,Grape-kiwi,Hardy kiwi,Hardy kiwifruit,Kiwi berry","Mini-kiwi,Siberische kruisbes",,"Kiwai,Kiwi d’été,Kiwi de Sibérie","Kiwai,Kleinfruchtige Kiwi,Scharfzähniger Strahlengriffel",,8,2,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,Actinidia,Actinidiaceae,Ericales,"Fruits,Food crops",2,,
9,['Actinidia deliciosa'],[],"Chinese gooseberry,Kiwi,Kiwifruit,Vine pear,Wood berry","Chinese kruisbes,Kiwi,Kiwi fruit","Actinidia,Kiwi",Kiwi,"Chinesische Stachelbeere,Chinesischer Strahlengriffel,Kiwi",Kiwi,5,3,2,1,3,1,China,"Main production of kiwi fruits is in: Italy, New Zealand, Chile, France, Greece, Japan, Iran, United States, Canada and Cambodia.",,Individual kiwi plants are either male or female. Female plants bear fruits but only if the flowers were pollinated by a male plant.,"Proverbs and QuotesWhy did the kiwifruit go out with the prune? Because it couldn’t get a date.Someone once threw me a small, brown, hairy kiwi fruit, and I threw a wastebasket over it until it was dead. (Erma Bombeck)I don’t go for the nouvelle approach-serving a rabbit rump with coffee extract sauce and a slice of kiwi fruit. (Jeff Smith)Did you know that?The kiwi (bird) is a national symbol of New Zealand, and the term  Kiwi is used for New Zealanders.RecipesWho knows a tasty kiwi recipe?Crop categoriesFruits Food crops Temperate cropsPicturesKiwi fruit - Photo by Justus BluemerKiwi fruit - Photo by Justus BluemerKiwi fruitsKiwi fruits",,,,,,,,,,,,,,,,,,,,,Actinidia,Actinidiaceae,Ericales,"Fruits,Food crops,Temperate crops",3,"Why did the kiwifruit go out with the prune? Because it couldn’t get a date.Someone once threw me a small, brown, hairy kiwi fruit, and I threw a wastebasket over it until it was dead. (Erma Bombeck)I don’t go for the nouvelle approach-serving a rabbit rump with coffee extract sauce and a slice of kiwi fruit. (Jeff Smith)",Who knows a tasty kiwi recipe?
