,Africa,,,,,Americas,,,,,,Asia,,,,,,Europe,,,,Pacific Region,
Region,Central Africa,East Africa,Indian Ocean Islands,Southern Africa,West Africa,Caribbean,Central America and Mexico,North America,Andean South America,Temperate South America ,Tropical South America,Central Asia,East Asia,South Asia,Southeast Asia,West Asia,South and East Mediterranean,North Eastern Europe,South Eastern Europe,North Western Europe,South Western Europe,Pacific Region- Australia and New Zealand,Tropical Pacific Region
Afghanistan,,,,,,,,,,,,,,,,x,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,x,,,,
Algeria,,,,,,,,,,,,,,,,,x,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,x
Angola,x,,,x,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,x,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,x,,,,,,,,,,,,,
Armenia,,,,,,,,,,,,x,,,,,,,x,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,x,
Austria,,,,,,,,,,,,,,,,,,,,x,,,
Azerbaijan,,,,,,,,,,,,x,,,,,,,,,,,
Bahamas,,,,,,x,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,,,,,x,,,,,,,
Bangladesh,,,,,,,,,,,,,,x,,,,,,,,,
Barbados,,,,,,x,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,x,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,x,,,
Belgium-Luxembourg,,,,,,,,,,,,,,,,,,,,x,,,
Belize,,,,,,,x,,,,,,,,,,,,,,,,
Benin,,,,,x,,,,,,,,,,,,,,,,,,
Bermuda,,,,,,x,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,x,,,,,,,,,
Bolivia (Plurinational State of),,,,,,,,,x,,x,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,x,,,,
Botswana,,,,x,,,,,,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,x,,,,,,,,,,,,
Brunei Darussalam,,,,,,,,,,,,,,,x,,,,,,,,
Bulgaria,,,,,,,,,,,,,,,,,,,x,,,,
Burkina Faso,,,,,x,,,,,,,,,,,,,,,,,,
Burundi,,x,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,,,,,x,,,,,,,,,,,,,,,,,,
Cambodia,,,,,,,,,,,,,,,x,,,,,,,,
Cameroon,x,,,,,,,,,,,,,,,,,,,,,,
Canada,,,,,,,,x,,,,,,,,,,,,,,,
Cape Verde,,,,,x,,,,,,,,,,,,,,,,,,
Central African Republic,x,,,,,,,,,,,,,,,,,,,,,,
Chad,,,,,x,,,,,,,,,,,,,,,,,,
Chile,,,,,,,,,x,x,,,,,,,,,,,,,
China,,,,,,,,,,,,,x,,,,,,,,,,
"China, Hong Kong SAR",,,,,,,,,,,,,x,,,,,,,,,,
"China, Macao SAR",,,,,,,,,,,,,x,,,,,,,,,,
"China, mainland",,,,,,,,,,,,,x,,,,,,,,,,
"China, Taiwan Province of",,,,,,,,,,,,,x,,,,,,,,,,
Colombia,,,,,,,,,x,,x,,,,,,,,,,,,
Comoros,,,x,,,,,,,,,,,,,,,,,,,,
Congo,x,,,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,,,,x
Costa Rica,,,,,,,x,,,,,,,,,,,,,,,,
C“te d'Ivoire,,,,,x,,,,,,,,,,,,,,,,,,
Croatia,,,,,,,,,,,,,,,,,,,x,,,,
Cuba,,,,,,x,,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,x,,,,,,
Czech Republic,,,,,,,,,,,,,,,,,,x,,,,,
Czechoslovakia,,,,,,,,,,,,,,,,,,x,,,,,
Democratic People's Republic of Korea,,,,,,,,,,,,,x,,,,,,,,,,
Democratic Republic of the Congo,x,,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,x,,,
Djibouti,,x,,,,,,,,,,,,,,,,,,,,,
Dominica,,,,,,x,,,,,,,,,,,,,,,,,
Dominican Republic,,,,,,x,,,,,,,,,,,,,,,,,
Ecuador,,,,,,,,,x,,x,,,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,x,,,,,,
El Salvador,,,,,,,x,,,,,,,,,,,,,,,,
Equatorial Guinea,x,,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,x,,,,,
Ethiopia,,x,,,,,,,,,,,,,,,,,,,,,
Ethiopia PDR,,x,,,,,,,,,,,,,,,,,,,,,
Faroe Islands,,,,,,,,,,,,,,,,,,,,x,,,
Fiji,,,,,,,,,,,,,,,,,,,,,,,x
Finland,,,,,,,,,,,,,,,,,,,,x,,,
France,,,,,,,,,,,,,,,,,,,,x,x,,
French Guiana,,,,,,,,,,,x,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,x
Gabon,x,,,,,,,,,,,,,,,,,,,,,,
Gambia,,,,,x,,,,,,,,,,,,,,,,,,
Georgia,,,,,,,,,,,,x,,,,,,,x,,,,
Germany,,,,,,,,,,,,,,,,,,,,x,,,
Ghana,,,,,x,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,x,,,,
Grenada,,,,,,x,,,,,,,,,,,,,,,,,
Guadeloupe,,,,,,x,,,,,,,,,,,,,,,,,
Guam,,,,,,,,,,,,,,,,,,,,,,,x
Guatemala,,,,,,,x,,,,,,,,,,,,,,,,
Guinea,,,,,x,,,,,,,,,,,,,,,,,,
Guinea-Bissau,,,,,x,,,,,,,,,,,,,,,,,,
Guyana,,,,,,,,,,,x,,,,,,,,,,,,
Haiti,,,,,,x,,,,,,,,,,,,,,,,,
Honduras,,,,,,,x,,,,,,,,,,,,,,,,
Hungary,,,,,,,,,,,,,,,,,,x,,,,,
Iceland,,,,,,,,,,,,,,,,,,,,x,,,
